????,?????/%,?????/MD,???????/Gpa,?????,?????????
1,19.96,53.98,0.98,0.29,22.65
2,20.83,188.4,0.98,0.29,24.65
3,21.77,166,0.98,0.29,24.658
4,20.7,25.49,0.98,0.29,22.007
5,19.84,27.42,0.98,0.29,22.05
6,16.41,2.147,0.98,0.29,20.52
7,14.82,1.46,0.98,0.29,20.33
8,16.14,0.206,0.98,0.29,20.61
9,16.48,0.469,0.98,0.29,20.174
10,22.59,63.07,0.98,0.29,22.86
11,21.73,76.83,0.98,0.29,23.175
12,17.08,2.058,0.98,0.29,20.495
13,16.08,4.619,0.98,0.29,21
14,15.58,3.98,0.98,0.29,20.95
15,12.11,0.486,0.98,0.29,20.14
16,21.2,142.2,0.98,0.29,24.655
17,21.3,243.5,0.98,0.29,24.632
18,21.25,192.85,0.98,0.29,24.643
19,19.8,121.5,0.98,0.29,24.18
20,19.3,128.9,0.98,0.29,24.35
21,19.6,83.3,0.98,0.29,23.31
22,19.6,111.2,0.98,0.29,23.94
23,17.6,34.7,0.98,0.29,22.205
24,18.4,30.6,0.98,0.29,22.116
25,18,32.65,0.98,0.29,22.165
26,11.8,10.2,0.98,0.29,21.636
27,14,8.6,0.98,0.29,21.495
28,9.5,6.6,0.98,0.29,21.26
29,16.3,18.5,0.98,0.29,21.87
30,13.1,9.7,0.98,0.29,21.58
31,15.1,9.6,0.98,0.29,21.58
32,21.2,142.2,0.98,0.29,24.65
33,21.3,243.5,0.98,0.29,24.63
34,19.8,110.1,0.98,0.29,23.93
35,21.1,160.3,0.98,0.29,24.66
36,17.949,67.559,0.93,0.29,22.85
37,17.949,67.559,0.94,0.29,22.86
38,17.949,67.559,0.95,0.29,22.88
39,17.949,67.559,0.96,0.29,22.91
40,17.949,67.559,0.97,0.29,22.94
41,17.949,67.559,0.98,0.29,22.955
42,17.949,67.559,0.99,0.29,22.97
43,17.949,67.559,1,0.29,22.995
44,17.949,67.559,1.01,0.29,23.02
45,17.949,67.559,0.95461,0.29,22.904
46,17.949,67.559,0.98273,0.29,22.969
47,17.949,67.559,1.00659,0.29,23.027
48,17.949,67.559,0.96864,0.29,22.936
49,17.949,67.559,0.71754,0.29,22.418
50,17.949,67.559,0.98,0.23,21.72
51,17.949,67.559,0.98,0.24,21.9
52,17.949,67.559,0.98,0.25,22.08
53,17.949,67.559,0.98,0.26,22.28
54,17.949,67.559,0.98,0.27,22.49
55,17.949,67.559,0.98,0.28,22.72
56,17.949,67.559,0.98,0.29,22.96
57,17.949,67.559,0.98,0.3,23.22
58,17.949,67.559,0.98,0.31,23.51
59,17.949,67.559,0.98,0.32,23.82
60,17.949,67.559,0.98,0.33,24.16
61,17.949,67.559,0.98,0.34,24.53
62,17.949,67.559,0.98,0.35,24.68
63,17.949,67.559,0.98,0.36,24.67
64,12.11,0.486,0.93,0.23,19.17
65,18.33,0.486,0.98,0.29,20.16
66,22.59,0.486,1.01,0.36,22.13
67,15.44,0.486,0.96,0.25,19.48
68,20.99,0.486,0.995,0.32,20.84
69,22.59,48.56,0.93,0.29,22.44
70,15.44,48.56,0.98,0.23,21.37
71,12.11,48.56,1.01,0.25,21.75
72,18.33,48.56,0.96,0.36,24.7
73,18.33,48.56,0.995,0.23,21.39
74,15.44,28.8,0.93,0.36,24.04
75,22.59,28.8,0.98,0.25,21.32
76,20.99,28.8,1.01,0.23,21.03
77,12.11,28.8,0.96,0.29,22.05
78,15.44,28.8,0.995,0.29,22.09
79,18.33,9.65,0.93,0.25,20.58
80,12.11,9.65,0.98,0.36,23.57
81,15.44,9.65,1.01,0.29,21.69
82,22.59,9.65,0.96,0.23,20.33
83,20.99,9.65,0.995,0.36,23.57
84,12.11,110.306,0.93,0.32,24.67
85,20.99,110.306,0.98,0.29,23.92
86,18.33,110.306,1.01,0.25,23.02
87,22.59,110.306,0.96,0.32,24.67
88,12.11,110.306,0.995,0.25,22.98
89,20.99,195.57,0.93,0.25,24.39
90,18.33,195.57,0.98,0.32,24.632
91,15.44,195.57,1.01,0.32,24.631
92,12.11,195.57,0.96,0.23,24.051
93,22.59,195.57,0.995,0.29,24.645
94,20.99,48.56,0.96,0.32,23.288
95,18.33,28.8,0.93,0.32,22.746
96,15.44,110.306,0.93,0.23,22.39
97,22.59,9.65,0.93,0.32,22.3
98,22.59,110.306,0.98,0.36,24.645
99,20.99,195.57,0.93,0.36,24.616
100,17.949,0.206,0.98,0.29,20.605
101,17.949,0.469,0.98,0.29,20.17
102,17.949,0.486,0.98,0.29,20.163
103,17.949,1.46,0.98,0.29,20.339
104,17.949,2.058,0.98,0.29,20.496
105,17.949,2.147,0.98,0.29,20.518
106,17.949,3.98,0.98,0.29,20.898
107,17.949,4.619,0.98,0.29,21.003
108,17.949,6.6,0.98,0.29,21.27
109,17.949,8.6,0.98,0.29,21.489
110,17.949,9.6,0.98,0.29,21.585
111,17.949,9.7,0.98,0.29,21.595
112,17.949,10.2,0.98,0.29,21.641
113,17.949,18.5,0.98,0.29,21.87
114,17.949,25.49,0.98,0.29,22.007
115,17.949,27.42,0.98,0.29,22.047
116,17.949,30.6,0.98,0.29,22.118
117,17.949,32.65,0.98,0.29,22.163
118,17.949,34.7,0.98,0.29,22.21
119,17.949,53.98,0.98,0.29,22.65
120,17.949,63.07,0.98,0.29,22.859
121,17.949,76.83,0.98,0.29,23.174
122,17.949,83.3,0.98,0.29,23.32
123,17.949,110.1,0.98,0.29,23.928
124,17.949,111.2,0.98,0.29,23.952
125,17.949,121.5,0.98,0.29,24.185
126,17.949,128.9,0.98,0.29,24.353
127,17.949,142.2,0.98,0.29,24.655
128,17.949,166,0.98,0.29,24.658
129,17.949,188.4,0.98,0.29,24.649
130,17.949,192.85,0.98,0.29,24.647
131,17.949,243.5,0.98,0.29,24.631
132,17.949,160.3,0.98,0.29,24.66
133,15.44,98.8,0.93,0.36,24.655
134,22.59,98.8,0.98,0.25,22.705
135,20.99,98.8,1.01,0.23,22.394
136,12.11,98.8,0.96,0.29,23.609
137,15.44,98.8,0.995,0.29,23.718
138,17.949,110.7,0.98,0.29,23.94
139,17.949,128.65,0.98,0.29,24.48
140,17.949,134.67,0.98,0.29,24.35
